energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_album_name,playlist_name,track_id,track_name,release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.59,157.97,0.52,pop,-7.78,0.12,0.54,"Lady Gaga, Bruno Mars",3,0.030,100,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,Today's Top Hits,2plbrEY59IikOBgBGLjaoe,Die With A Smile,8/16/2024,0.0000,10FLjwfpbxLmW8c25Xyc2N,0,6,251668,0.308,2plbrEY59IikOBgBGLjaoe,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.51,104.98,0.75,pop,-10.17,0.12,0.44,Billie Eilish,4,0.036,97,spotify:track:6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,Today's Top Hits,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,5/17/2024,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1,2,210373,0.200,6dOtVTDdiauQNBQEDOtlAB,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.81,108.55,0.55,pop,-4.17,0.16,0.37,Gracie Abrams,4,0.037,93,spotify:track:7ne4VBA60CxGM75vw0EYad,The Secret of Us,Today's Top Hits,7ne4VBA60CxGM75vw0EYad,That’s So True,10/18/2024,0.0000,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,7ne4VBA60CxGM75vw0EYad,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.91,112.97,0.67,pop,-4.07,0.30,0.79,Sabrina Carpenter,4,0.063,81,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Short n' Sweet,Today's Top Hits,1d7Ptw3qYcfpdLNL5REhtJ,Taste,8/23/2024,0.0000,4B4Elma4nNDUyl6D5PvQkj,0,0,157280,0.094,1d7Ptw3qYcfpdLNL5REhtJ,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.78,149.03,0.78,pop,-4.48,0.36,0.94,"ROSÉ, Bruno Mars",4,0.260,98,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,Today's Top Hits,5vNRhkKd0yEAg8suGBpjeY,APT.,10/18/2024,0.0000,2IYQwwgxgOIn7t3iF6ufFD,0,0,169917,0.028,5vNRhkKd0yEAg8suGBpjeY,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.58,116.71,0.70,pop,-5.96,0.09,0.79,Chappell Roan,4,0.036,94,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Today's Top Hits,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",4/5/2024,0.0000,1WAjjRMfZjEXtB0lQrAw6Q,0,11,218424,0.050,0WbMK4wrZ1wFSty9F7FCgu,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.56,150.07,0.67,pop,-6.54,0.10,0.84,Addison Rae,4,0.041,88,spotify:track:6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Today's Top Hits,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,8/9/2024,0.0096,0XA403JTounqFh2owquBXu,1,10,169698,0.495,6MzofobZt2dm0Kf1hTThFz,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.25,148.10,0.47,pop,-12.00,0.17,0.13,Billie Eilish,4,0.043,93,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,HIT ME HARD AND SOFT,Today's Top Hits,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,5/17/2024,0.0003,7aJuG4TFXa2hmE4z1yxc3n,0,6,261467,0.612,3QaPy1KgI7nu9FJEQUgn6h,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.42,94.93,0.49,pop,-10.44,0.20,0.30,Gigi Perez,4,0.025,71,spotify:track:0UYnhUfnUj5adChuAXvLUB,Sailor Song,Today's Top Hits,0UYnhUfnUj5adChuAXvLUB,Sailor Song,7/26/2024,0.0001,4DWrYvfGXRE8ko5ZxlIpit,1,11,211979,0.686,0UYnhUfnUj5adChuAXvLUB,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.72,119.97,0.77,pop,-5.49,0.11,0.57,"The Weeknd, Playboi Carti",4,0.051,92,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Timeless,Today's Top Hits,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),9/27/2024,0.0000,2IRxVVqbSbqHJo8Zx50LYn,0,11,256000,0.058,1Es7AUAhQvapIcoh3qMKDL,Mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
